galaxy,ok,duration_s
VCC1049,True,27.785
VCC1146,True,27.851
VCC0667,True,29.816
VCC0308,True,30.069
VCC0688,True,34.040
VCC0990,True,34.405
VCC1368,True,29.197
VCC1499,True,23.401
VCC1193,True,31.367
VCC1410,True,31.359
VCC1431,True,31.215
VCC1486,True,31.545
VCC1549,True,24.534
VCC1588,True,24.309
VCC1695,True,26.816
VCC1890,True,26.202
VCC1811,True,27.671
VCC1902,True,27.792
VCC1949,True,23.561
VCC1910,True,28.372
