galaxy,ok,duration_s
VCC0990,True,1832.236
VCC0688,True,1925.642
VCC1049,True,1952.959
VCC1146,True,1960.360
VCC0308,True,1976.056
VCC0667,True,1979.359
VCC1499,True,1128.205
VCC1193,True,1773.143
VCC1410,True,1758.324
VCC1368,True,1785.770
VCC1431,True,1759.292
VCC1486,True,1768.696
VCC1549,True,1419.697
VCC1588,True,1697.806
VCC1890,True,1620.226
VCC1695,True,1647.614
VCC1811,True,1660.414
VCC1902,True,1649.682
VCC1910,True,1067.669
VCC1949,True,784.547
