galaxy,ok,duration_s
VCC0990,False,1539.695
VCC0688,False,1583.556
VCC1049,False,1616.790
VCC0667,False,1647.461
VCC0308,False,1657.012
VCC1146,False,1689.183
VCC1499,False,1070.903
VCC1193,False,1756.875
VCC1410,False,1727.788
VCC1368,False,1786.398
VCC1486,False,1731.950
VCC1431,True,1843.983
VCC1549,True,1362.391
VCC1890,False,1579.443
VCC1695,False,1630.652
VCC1588,True,1690.918
VCC1811,False,1625.388
VCC1902,True,1586.232
VCC1910,False,1060.980
VCC1949,False,758.406
