Age,ZoH,CN1,CN2,Ca4227,G4300,Fe4383,Ca4455,Fe4531,C24668,Hb,Fe5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,NaD,TiO1,TiO2
1,-2.25,-0.2597,-0.1509,-0.4300,-4.3330,-3.0443,-0.1991,-0.8268,1.5056,6.9087,-0.0714,0.0141,-0.0026,0.2098,0.1039,0.2060,-0.1542,-0.0526,-0.4449,0.8640,0.0137,-0.0053
2,-2.25,-0.2023,-0.1210,-0.2076,-2.4231,-1.9632,-0.0649,-0.3439,0.8304,4.9274,0.3419,0.0049,0.0101,0.3873,0.2550,0.3434,-0.0306,-0.0067,-0.3484,0.7862,0.0129,-0.0041
3,-2.25,-0.1864,-0.1137,-0.1142,-1.9177,-1.6542,-0.0261,-0.1779,0.5513,4.5009,0.4577,0.0035,0.0131,0.4097,0.3476,0.3878,0.0146,0.0087,-0.3190,0.8009,0.0122,-0.0043
4,-2.25,-0.1734,-0.1078,-0.0414,-1.5309,-1.3888,-0.0044,-0.0702,0.3322,4.1729,0.5150,0.0023,0.0177,0.4998,0.4090,0.4065,0.0395,0.0110,-0.3081,0.8205,0.0118,-0.0046
5,-2.25,-0.1614,-0.1022,0.0234,-1.1476,-1.1470,0.0150,0.0177,0.1563,3.8651,0.5525,0.0020,0.0217,0.5789,0.4634,0.4238,0.0566,0.0128,-0.2998,0.8473,0.0114,-0.0049
6,-2.25,-0.1483,-0.0942,0.0755,-0.8130,-0.8060,0.0526,0.1132,0.0644,3.5966,0.6159,0.0009,0.0244,0.6040,0.5357,0.4754,0.0969,0.0226,-0.2749,0.8532,0.0111,-0.0051
8,-2.25,-0.1312,-0.0866,0.1525,-0.3758,-0.4597,0.0592,0.1846,-0.1619,3.1330,0.6225,0.0028,0.0338,0.8624,0.5479,0.4686,0.1047,0.0165,-0.2854,0.9347,0.0105,-0.0057
10,-2.25,-0.1235,-0.0820,0.1819,-0.3228,-0.1394,0.0765,0.2219,-0.2400,3.0434,0.6345,0.0043,0.0361,0.8696,0.5998,0.5080,0.1342,0.0215,-0.2716,0.9877,0.0101,-0.0062
12,-2.25,-0.1218,-0.0811,0.1743,-0.5484,0.0154,0.0767,0.1929,-0.2791,3.1037,0.6161,0.0072,0.0376,0.8868,0.6280,0.5373,0.1560,0.0282,-0.2647,1.0434,0.0096,-0.0067
15,-2.25,-0.1199,-0.0808,0.2492,-0.0946,0.1810,0.1195,0.2443,-0.2847,2.7412,0.6237,0.0123,0.0446,0.9783,0.6327,0.5879,0.1739,0.0327,-0.2628,1.1445,0.0095,-0.0069
1,-1.35,-0.1786,-0.0983,-0.0399,-1.2897,-1.1034,0.1033,0.5457,0.0440,4.8816,1.2372,0.0134,0.0349,0.7672,0.2644,0.3664,0.1511,0.2610,0.0186,0.8196,0.0137,0.0001
2,-1.35,-0.1654,-0.0932,0.0702,-0.8019,-0.7954,0.1646,0.7393,-0.1358,4.4698,1.3944,0.0121,0.0422,0.8957,0.3523,0.4343,0.1989,0.2707,0.0466,0.8577,0.0136,0.0009
3,-1.35,-0.1489,-0.0842,0.1627,-0.2178,-0.4851,0.2350,0.9112,-0.1833,4.0928,1.5444,0.0123,0.0483,1.0058,0.4662,0.5018,0.2434,0.2852,0.0666,0.9063,0.0137,0.0017
4,-1.35,-0.1312,-0.0736,0.2430,0.3744,-0.1263,0.3047,1.0646,-0.1769,3.6896,1.6767,0.0134,0.0546,1.1173,0.5814,0.5698,0.2908,0.2995,0.0871,0.9630,0.0139,0.0024
5,-1.35,-0.1150,-0.0636,0.3127,0.9343,0.1945,0.3660,1.1937,-0.1636,3.2898,1.7972,0.0149,0.0604,1.2139,0.6779,0.6233,0.3305,0.3150,0.1022,1.0084,0.0141,0.0031
6,-1.35,-0.1034,-0.0562,0.3648,1.3206,0.4731,0.4154,1.2904,-0.1380,3.0048,1.8802,0.0165,0.0651,1.2766,0.7589,0.6786,0.3692,0.3264,0.1199,1.0573,0.0143,0.0037
8,-1.35,-0.0888,-0.0474,0.4358,1.8199,0.7827,0.4663,1.3935,-0.1499,2.6274,1.9650,0.0196,0.0725,1.3990,0.8311,0.7257,0.4030,0.3366,0.1271,1.1363,0.0145,0.0043
10,-1.35,-0.0788,-0.0409,0.4908,2.1664,1.0271,0.5104,1.4734,-0.1396,2.3819,2.0399,0.0227,0.0782,1.4686,0.8952,0.7717,0.4371,0.3485,0.1368,1.2062,0.0148,0.0052
12,-1.35,-0.0753,-0.0384,0.5073,2.2127,1.1558,0.5301,1.5049,-0.1295,2.3124,2.0593,0.0247,0.0824,1.4570,0.9333,0.8096,0.4622,0.3501,0.1472,1.2728,0.0151,0.0056
15,-1.35,-0.1020,-0.0547,0.4598,1.4096,0.8981,0.4627,1.3759,-0.2111,2.6446,1.9398,0.0280,0.0802,1.3923,0.8561,0.7879,0.4532,0.3413,0.1353,1.3496,0.0152,0.0055
1,-0.33,-0.1047,-0.0464,0.3875,1.3806,0.9236,0.7220,1.8809,1.3543,3.9736,3.2775,0.0393,0.1111,1.8100,1.4380,1.0876,0.7377,0.6705,0.4497,1.5597,0.0216,0.0206
2,-0.33,-0.0608,-0.0154,0.6048,2.9210,1.8994,0.9623,2.2841,2.0340,3.0051,3.7200,0.0501,0.1361,2.2423,1.7055,1.3360,0.9008,0.7049,0.5013,1.8342,0.0286,0.0357
3,-0.33,-0.0456,-0.0046,0.6999,3.4671,2.2681,1.0459,2.4227,2.2804,2.6552,3.8552,0.0552,0.1468,2.4193,1.8034,1.4224,0.9433,0.7070,0.5144,1.9644,0.0322,0.0429
4,-0.33,-0.0345,0.0032,0.7645,3.8547,2.5397,1.1043,2.5140,2.4171,2.4251,3.9456,0.0589,0.1539,2.5309,1.8727,1.4778,0.9782,0.7132,0.5232,2.0483,0.0333,0.0463
5,-0.33,-0.0281,0.0076,0.8067,4.0929,2.7162,1.1391,2.5671,2.4809,2.2891,4.0012,0.0611,0.1585,2.6089,1.9161,1.5100,0.9986,0.7157,0.5271,2.1069,0.0337,0.0479
6,-0.33,-0.0239,0.0102,0.8449,4.2812,2.8702,1.1684,2.6106,2.5274,2.1935,4.0351,0.0636,0.1631,2.6771,1.9510,1.5454,1.0269,0.7165,0.5299,2.1673,0.0344,0.0503
8,-0.33,-0.0162,0.0156,0.9101,4.5858,3.0984,1.2221,2.6892,2.6298,2.0304,4.1094,0.0685,0.1731,2.8425,2.0134,1.5986,1.0559,0.7210,0.5367,2.2827,0.0357,0.0544
10,-0.33,-0.0080,0.0222,0.9780,4.8785,3.3230,1.2862,2.7772,2.7787,1.8736,4.2294,0.0743,0.1839,3.0120,2.0889,1.6587,1.0915,0.7301,0.5484,2.4050,0.0377,0.0591
12,-0.33,-0.0013,0.0276,1.0270,5.1069,3.4937,1.3443,2.8502,2.8783,1.7499,4.3519,0.0797,0.1929,3.1421,2.1558,1.7161,1.1375,0.7420,0.5602,2.5100,0.0390,0.0632
15,-0.33,0.0019,0.0310,1.0763,5.2407,3.6526,1.3994,2.9206,2.9652,1.6533,4.3985,0.0886,0.2031,3.2361,2.2109,1.7675,1.1772,0.7566,0.5708,2.6528,0.0402,0.0678
