Age,ZoH,CN1,CN2,Ca4227,G4300,Fe4383,Ca4455,Fe4531,C24668,Hb,Fe5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,NaD,TiO1,TiO2
1,-2.25,-0.2632,-0.1536,-0.4260,-4.3872,-2.8764,-0.1924,-0.8226,1.6082,6.7915,-0.0725,0.0115,-0.0025,0.1794,0.1715,0.2673,-0.1296,-0.0573,-0.4248,0.8827,0.0140,-0.0048
2,-2.25,-0.2033,-0.1214,-0.2038,-2.4775,-1.8406,-0.0604,-0.3240,0.9274,4.8015,0.3634,0.0023,0.0094,0.3366,0.3408,0.4326,0.0056,-0.0074,-0.3342,0.8046,0.0132,-0.0037
3,-2.25,-0.1871,-0.1137,-0.1132,-1.9934,-1.4889,-0.0243,-0.1584,0.6396,4.3819,0.4838,0.0012,0.0123,0.3632,0.4333,0.4781,0.0519,0.0094,-0.3070,0.8133,0.0125,-0.0039
4,-2.25,-0.1740,-0.1077,-0.0440,-1.6085,-1.2146,-0.0036,-0.0539,0.4111,4.0630,0.5427,0.0003,0.0167,0.4429,0.4910,0.5023,0.0725,0.0119,-0.2974,0.8275,0.0121,-0.0042
5,-2.25,-0.1621,-0.1021,0.0173,-1.2265,-0.9724,0.0149,0.0312,0.2273,3.7640,0.5811,0.0000,0.0205,0.5125,0.5421,0.5246,0.0835,0.0140,-0.2900,0.8497,0.0117,-0.0045
6,-2.25,-0.1491,-0.0941,0.0661,-0.8894,-0.6061,0.0511,0.1253,0.1278,3.5048,0.6476,-0.0011,0.0230,0.5364,0.6168,0.5902,0.1264,0.0248,-0.2677,0.8524,0.0114,-0.0047
8,-2.25,-0.1324,-0.0868,0.1459,-0.4385,-0.2853,0.0596,0.1951,-0.1079,3.0582,0.6530,0.0007,0.0318,0.7516,0.6302,0.5827,0.1394,0.0184,-0.2772,0.9264,0.0108,-0.0052
10,-2.25,-0.1251,-0.0826,0.1764,-0.3607,0.0315,0.0778,0.2360,-0.1940,2.9791,0.6651,0.0019,0.0340,0.7594,0.6900,0.6335,0.1781,0.0242,-0.2646,0.9746,0.0103,-0.0057
12,-2.25,-0.1240,-0.0821,0.1694,-0.5518,0.1609,0.0791,0.2067,-0.2386,3.0454,0.6450,0.0047,0.0354,0.7752,0.7227,0.6713,0.2069,0.0317,-0.2587,1.0268,0.0099,-0.0062
15,-2.25,-0.1229,-0.0825,0.2547,-0.0944,0.2559,0.1224,0.2624,-0.2508,2.6915,0.6520,0.0102,0.0423,0.8700,0.7250,0.7312,0.2321,0.0371,-0.2557,1.1413,0.0098,-0.0054
1,-1.35,-0.1830,-0.1023,-0.0251,-1.4389,-0.6485,0.0989,0.6231,0.0868,4.7632,1.3209,0.0105,0.0322,0.6423,0.3784,0.4942,0.2456,0.2880,0.0919,0.8282,0.0138,0.0006
