,Age,ZoH,CN1,CN2,Ca4227,G4300,Fe4383,Ca4455,Fe4531,C24668,Hb,Fe5015,Mg1,Mg2,Mgb,Fe5270,Fe5335,Fe5406,Fe5709,Fe5782,NaD,TiO1,TiO2,AoFe
101,2,0.35,0.0426,0.0807,1.0749,4.9264,4.3325,1.7191,3.2422,6.2961,2.3032,5.6146,0.1116,0.2487,3.9266,2.7252,2.3521,1.4634,1.004,0.7863,3.5098,0.0417,0.0669,0.3
102,3,0.35,0.0531,0.0884,1.1724,5.3252,4.6662,1.7872,3.3338,6.4897,2.1288,5.7456,0.1181,0.2609,4.1758,2.7911,2.4128,1.5041,1.0174,0.796,3.594,0.042,0.0693,0.3
103,4,0.35,0.0664,0.1006,1.267,5.6223,4.9414,1.8602,3.4372,6.7306,1.9695,5.8594,0.127,0.275,4.4066,2.8686,2.4863,1.5534,1.0287,0.8088,3.7416,0.0433,0.0741,0.3
104,5,0.35,0.0736,0.1071,1.3358,5.832,5.1308,1.9103,3.5075,6.8842,1.8598,5.9225,0.1335,0.285,4.5543,2.9165,2.5352,1.5822,1.0381,0.8184,3.8488,0.0441,0.0781,0.3
105,6,0.35,0.0813,0.1146,1.3942,5.9935,5.2868,1.955,3.57,7.0272,1.7681,5.9742,0.1394,0.2942,4.6847,2.9588,2.5768,1.611,1.0462,0.828,3.9543,0.045,0.0823,0.3
106,8,0.35,0.089,0.1217,1.4757,6.1588,5.4444,2.0034,3.6333,7.1469,1.6599,6.0242,0.1457,0.3047,4.8498,3.0067,2.6205,1.6362,1.0478,0.8327,4.0843,0.0455,0.087,0.3
107,10,0.35,0.0996,0.1323,1.5521,6.3065,5.5838,2.0557,3.6991,7.3008,1.5587,6.0878,0.1514,0.3148,5.007,3.0575,2.6634,1.6638,1.0479,0.8376,4.2225,0.0465,0.0921,0.3
108,12,0.35,0.1147,0.1483,1.6525,6.43,5.755,2.1257,3.7943,7.5289,1.4463,6.1716,0.161,0.329,5.1767,3.1314,2.7257,1.7093,1.0531,0.8524,4.4195,0.0484,0.0998,0.3
109,15,0.35,0.1352,0.1705,1.7795,6.5299,5.9058,2.2109,3.9104,7.8073,1.317,6.2554,0.1755,0.3464,5.361,3.2195,2.7975,1.7645,1.0597,0.8754,4.6915,0.0508,0.1104,0.3
110,1,0.67,-0.0279,0.012,0.8774,3.8711,3.1506,1.5873,2.9447,6.0333,3.168,5.4444,0.0882,0.1948,2.9303,2.5224,2.378,1.3513,1.022,0.7413,3.3353,0.0254,0.0329,0.3
