galaxy,ok,duration_s
VCC0688,True,19.135
VCC0990,True,19.181
VCC1146,True,19.826
VCC0308,True,19.890
VCC1049,True,19.920
VCC0667,True,20.033
VCC1499,True,10.346
VCC1193,True,18.119
VCC1368,True,18.130
VCC1410,True,18.754
VCC1486,True,18.728
VCC1431,True,18.807
VCC1549,True,20.035
VCC1695,True,18.106
VCC1588,True,18.274
VCC1890,True,17.743
VCC1811,True,18.064
VCC1902,True,18.173
VCC1910,True,16.914
VCC1949,True,16.200
