galaxy,isapc_status,aip_map,aip_profile,norm_spectra_count,notes
VCC0308,ok,1,1,4,
VCC0667,ok,1,0,4,
VCC0688,ok,1,0,4,
VCC0990,ok,1,1,4,
VCC1049,ok,1,0,4,
VCC1146,ok,1,1,4,
VCC1193,ok,1,0,4,
VCC1368,ok,1,0,4,
VCC1410,ok,1,0,4,
VCC1431,ok,1,1,4,
VCC1486,ok,1,0,4,
VCC1499,ok,0,0,4,no AIP map
VCC1549,ok,1,1,4,
VCC1588,ok,1,1,4,
VCC1695,ok,1,0,4,
VCC1811,ok,1,1,4,
VCC1890,ok,1,0,4,
VCC1902,ok,1,1,4,
VCC1910,ok,1,1,4,
VCC1949,ok,1,0,4,
